,Trial,filekey,Phase,Start,End,notes
0,210811_animal_trial_01,01,PIN,2021-08-11 02:50:58.150000+00:00,2021-08-11 02:51:28.151000+00:00,patient in
1,210811_animal_trial_01,01,TIP,2021-08-11 02:58:43.352000,2021-08-11 03:01:31.550000,tumor implant patient prep
2,210811_animal_trial_01,01,PAO,2021-08-11 03:34:35.126000,2021-08-11 03:36:35.864000,preparation of aorta. from first incision
3,210811_animal_trial_01,01,POUT,2021-08-11 03:46:45.807000+00:00,2021-08-11 03:49:33.173000+00:00,patient out
4,210811_animal_trial_01,01,PIN2,2021-08-11 04:53:20.123000+00:00,2021-08-11 04:54:24.692000+00:00,patient in after CT
5,210811_animal_trial_01,02,LAC,2021-08-11 05:32:09.154000+00:00,2021-08-11 05:53:42.380000+00:00,laying of angio catheter with carm
6,210811_animal_trial_01,06,TRS,2021-08-11 13:08:40.835000+00:00,2021-08-11 13:13:25.737000+00:00,"note: inaccurate and bad. Prior to standardization, too many people in room"
7,210824_animal_trial_02,01,PIN,2021-08-24 02:33:22.006000+00:00,2021-08-24 02:34:56.207000+00:00,
8,210824_animal_trial_02,01,PAO,2021-08-24 02:40:48.742000+00:00,2021-08-24 02:44:41.042000+00:00,
9,210824_animal_trial_02,01,TIP,2021-08-24 03:10:13.660000+00:00,2021-08-24 03:44:17.884000+00:00,
10,210824_animal_trial_02,01,POUT,2021-08-24 03:55:50.046000+00:00,2021-08-24 04:00:50.445000+00:00,
11,210824_animal_trial_02,02,PIN2,2021-08-24 05:12:17.078000+00:00,2021-08-24 05:13:23.075000+00:00,
12,210824_animal_trial_02,02,LAC,2021-08-24 05:49:55.639000+00:00,2021-08-24 06:05:36.896000+00:00,
13,210824_animal_trial_02,06,TRS,2021-08-24 14:07:07.290000+00:00,2021-08-24 14:14:50.893000+00:00,
14,210914_animal_trial_03,01,TIP,2021-09-14 02:48:22.805000+00:00,2021-09-14 02:50:34.435000+00:00,
16,210914_animal_trial_03,01,POUT,2021-09-14 03:54:27.884000+00:00,2021-09-14 03:56:25.437000+00:00,
17,210914_animal_trial_03,02,PIN2,2021-09-14 04:50:29.533000+00:00,2021-09-14 04:52:06.635000+00:00,
18,210914_animal_trial_03,03,LAC,2021-09-14 06:31:46.837000+00:00,2021-09-14 06:37:21.873000+00:00,
19,210914_animal_trial_03,05,TRS,2021-09-14 12:34:25.869000+00:00,2021-09-14 12:51:33.779000+00:00,this scene had a very long break between tumor removal and suturing
20,210928_animal_trial_04,01,PIN,2021-09-28 02:43:13.604000+00:00,2021-09-28 02:44:03.101000+00:00,
21,210928_animal_trial_04,01,TIP,2021-09-28 02:51:13.105000+00:00,2021-09-28 02:55:41.672000+00:00,
23,210928_animal_trial_04,01,POUT,2021-09-28 03:58:28.332000+00:00,2021-09-28 04:00:08.533000+00:00,
24,210928_animal_trial_04,02,PIN2,2021-09-28 04:55:28.083000+00:00,2021-09-28 04:56:19.220000+00:00,
25,210928_animal_trial_04,03,LAC,2021-09-28 05:37:38.287000+00:00,2021-09-28 05:46:11.011000+00:00,
26,210928_animal_trial_04,05,TRS,2021-09-28 09:36:42.981000+00:00,2021-09-28 09:41:48.413000+00:00,
27,211012_animal_trial_05,01,PIN,2021-10-12 02:42:21.276000+00:00,2021-10-12 02:43:34.341000+00:00,
28,211012_animal_trial_05,01,TIP,2021-10-12 02:57:27.114000+00:00,2021-10-12 02:59:17.183000+00:00,
30,211012_animal_trial_05,01,POUT,2021-10-12 04:01:13.799000+00:00,2021-10-12 04:06:40.402000+00:00,
31,211012_animal_trial_05,01,PIN2,2021-10-12 05:04:21.989000+00:00,2021-10-12 05:07:48.955000+00:00,
32,211012_animal_trial_05,02,LAC,2021-10-12 05:51:57.704000+00:00,2021-10-12 05:56:19.406000+00:00,
33,211012_animal_trial_05,03,TRS,2021-10-12 11:05:36.265000+00:00,2021-10-12 11:14:46.728000+00:00,
34,211019_animal_trial_06,01,PIN,2021-10-19 02:31:07.926000+00:00,2021-10-19 02:36:36.800000+00:00,
35,211019_animal_trial_06,01,TIP,2021-10-19 02:55:36.360000+00:00,2021-10-19 02:57:42.726000+00:00,
37,211019_animal_trial_06,01,POUT,2021-10-19 03:54:10.436000+00:00,2021-10-19 03:58:24.503000+00:00,
38,211019_animal_trial_06,02,PIN2,2021-10-19 05:24:44.252000+00:00,2021-10-19 05:27:21.018000+00:00,
39,211019_animal_trial_06,04,TRS,2021-10-19 11:34:01.123000+00:00,2021-10-19 11:41:19.097000+00:00,
0,210811_animal_trial_01,01,PREP,2021-08-11 03:01:31.550000,2021-08-11 03:34:35.126000,
1,210824_animal_trial_02,01,PREP,2021-08-24 02:44:41.042000+00:00,2021-08-24 03:10:13.660000+00:00,
2,210914_animal_trial_03,01,PREP,2021-09-14 02:50:34.435000+00:00,2021-09-14 03:20:33.249000+00:00,
3,210914_animal_trial_03,01,TIP2,2021-09-14 02:48:22.805000+00:00,2021-09-14 02:50:34.435000+00:00,
4,210928_animal_trial_04,01,PREP,2021-09-28 02:55:41.672000+00:00,2021-09-28 03:27:55.024000+00:00,
5,210928_animal_trial_04,01,TIP2,2021-09-28 02:51:13.105000+00:00,2021-09-28 02:55:41.672000+00:00,
6,211012_animal_trial_05,01,PREP,2021-10-12 02:59:17.183000+00:00,2021-10-12 03:26:19.123000+00:00,
7,211012_animal_trial_05,01,TIP2,2021-10-12 02:57:27.114000+00:00,2021-10-12 02:59:17.183000+00:00,
8,211019_animal_trial_06,01,PREP,2021-10-19 02:57:42.726000+00:00,2021-10-19 03:24:39.895000+00:00,
9,211019_animal_trial_06,01,TIP2,2021-10-19 02:55:36.360000+00:00,2021-10-19 02:57:42.726000+00:00,
