,Trial,filekey,Phase,Start,End,notes
40,211026_animal_trial_07,01,PIN,2021-10-26 02:40:54.123000+00:00,2021-10-26 02:42:14.708000+00:00,
41,211026_animal_trial_07,01,PAO,2021-10-26 02:50:20.544000+00:00,2021-10-26 02:52:09.677000+00:00,
42,211026_animal_trial_07,01,TIP,2021-10-26 03:25:12.272000+00:00,2021-10-26 04:18:17.142000+00:00,
43,211026_animal_trial_07,01,POUT,2021-10-26 04:21:15.141000+00:00,2021-10-26 04:23:21.475000+00:00,
44,211026_animal_trial_07,02,PIN2,2021-10-26 05:14:18.329000+00:00,2021-10-26 05:16:07.063000+00:00,
45,211026_animal_trial_07,03,LAC,2021-10-26 06:07:35.816000+00:00,2021-10-26 06:19:58.351000+00:00,
46,211026_animal_trial_07,08,TRS,2021-10-26 10:12:11.123000+00:00,2021-10-26 10:17:35.191000+00:00,
47,211102_animal_trial_08,01,PIN,2021-11-02 03:45:19.700000+00:00,2021-11-02 03:46:02.200000+00:00,
48,211102_animal_trial_08,01,TIP,2021-11-02 03:53:47.238000+00:00,2021-11-02 03:58:14.770000+00:00,registration bad for cn01
50,211102_animal_trial_08,01,POUT,2021-11-02 04:51:13.838000+00:00,2021-11-02 04:52:59.003000+00:00,
51,211102_animal_trial_08,01,blooper,2021-11-02 05:13:15.806000+00:00,2021-11-02 05:13:25.574000+00:00,
52,211102_animal_trial_08,02,PIN2,2021-11-02 05:52:36.993000+00:00,2021-11-02 05:53:12.325000+00:00,
53,211102_animal_trial_08,04,LAC,2021-11-02 06:48:17.879000+00:00,2021-11-02 06:51:30.709000+00:00,
54,211102_animal_trial_08,06,TRS,2021-11-02 10:53:59.828000+00:00,2021-11-02 11:05:32.694000+00:00,
69,211123_animal_trial_11,01,PIN,2021-11-23 03:49:53.835000+00:00,2021-11-23 03:51:23.132000+00:00,
70,211123_animal_trial_11,01,PIN,2021-11-23 03:49:53.835000+00:00,2021-11-23 03:51:23.132000+00:00,
71,211123_animal_trial_11,01,PIN,2021-11-23 03:49:53.835000+00:00,2021-11-23 03:51:23.132000+00:00,
72,211123_animal_trial_11,01,PAO,2021-11-23 04:13:33.107000+00:00,2021-11-23 04:15:41.208000+00:00,"don’t use surgical lights, preemptive cuttoff due to light bump"
75,211123_animal_trial_11,01,POUT,2021-11-23 05:10:31.819000+00:00,2021-11-23 05:11:43.287000+00:00,big obscurance in cn02
77,211123_animal_trial_11,02,LAC,2021-11-23 06:41:03.278000+00:00,2021-11-23 06:44:42.344000+00:00,
78,211123_animal_trial_11,06,TRS,2021-11-23 12:08:55.203000+00:00,2021-11-23 12:14:54.067000+00:00,
10,211026_animal_trial_07,01,PREP,2021-10-26 02:52:09.677000+00:00,2021-10-26 03:25:12.272000+00:00,
11,211102_animal_trial_08,01,PREP,2021-11-02 03:58:14.770000+00:00,2021-11-02 04:29:00.185000+00:00,
12,211102_animal_trial_08,01,TIP2,2021-11-02 03:53:47.238000+00:00,2021-11-02 03:58:14.770000+00:00,
16,211123_animal_trial_11,01,PREP,2021-11-23 04:15:41.208000+00:00,2021-11-23 04:17:32.173000+00:00,
